ServiceCode,Name,Category,RatePerHour,FlatPrice,TypicalDurationDays,SLA
SVC-1001,On-site Installation,Implementation,60.00,,-,1-5 business days
SVC-1002,Remote Installation,Implementation,45.00,350.00,1-2,Scheduled within 2 business days
SVC-1003,ERP Deployment - Small,Implementation,85.00,5000.00,14-28,Project plan & weekly milestones
SVC-1004,ERP Deployment - Medium,Implementation,95.00,15000.00,30-60,Monthly deliverables
SVC-1005,ERP Deployment - Enterprise,Implementation,115.00,45000.00,60-180,Quarterly executive updates
SVC-1006,Custom Integration (API),Engineering,110.00,,-,Response within 3 business days
SVC-1007,Data Migration (per GB),Engineering,65.00,250.00,depends,Verification & staging included
SVC-1008,Monthly Managed Services,Support,75.00,2100.00,Monthly,24x7 monitoring (if subscribed)
SVC-1009,Helpdesk Tier-1 (per incident),Support,25.00,45.00,1,SLA 8 business hours
SVC-1010,Helpdesk Tier-2 (per incident),Support,45.00,90.00,2,SLA 24 business hours
SVC-1011,On-site Preventive Maintenance,Maintenance,80.00,450.00,1-3,Scheduled quarterly
SVC-1012,Network Audit,Consulting,120.00,1500.00,3-5,Security & performance report
SVC-1013,Cybersecurity Assessment,Consulting,180.00,4200.00,7-14,Full risk report
SVC-1014,Cloud Migration - Basic,Cloud,140.00,3500.00,7-21,Staging & rollback plan
SVC-1015,Cloud Migration - Advanced,Cloud,160.00,12500.00,21-60,HA design included
SVC-1016,Training: End Users (per session),Training,450.00,,-,2-4 hour sessions
SVC-1017,Training: Admins (per session),Training,650.00,,-,4-8 hour sessions
SVC-1018,Customization: Reports,Engineering,95.00,,-,3-10 days
SVC-1019,Consulting: Process Optimization,Consulting,210.00,,-,2-6 weeks
SVC-1020,Onboarding & Change Management,Consulting,170.00,8500.00,30-90,Stakeholder workshops included

